id,term,definition
card45,2015 UN climate accord that caps global warming - what is it called?,"Paris Agreement• Adopted under the UNFCCC in December 2015 to limit warming to well below 2 °C above pre-industrial levels, aiming for 1.5 °C.
Accord (noun): a formal agreement between parties."
card46,Single best defence against a negligence lawsuit,"Produce careful, thorough, accurate work (quality first). Insurance only mitigates losses after the fact."
card47,"Posting false, damaging statements online about a competitor",Constitutes libel → an actionable tort claim; internet posts are fully enforceable.
card48,E&O vs. CGL in one line,E&O = professional mistakes.
card49,Network-security question,Which tool lets me filter incoming & outgoing internet traffic to block unauthorised connections for my team? Firewall software.
card50,Whistle-blowing grounds - trade-secret scenario,A geoscientist discovers that management is merely keeping company trade secrets confidential. Does that justify whistle-blowing? No.
card51,Officer starts a rival side-business,Whose interests must come first under fiduciary duty? The company's interests rank ahead of the officer's personal interests.
card52,Hiring a close relative with municipal grant money,Identify the conflicting interests and decide which one (the public's) must take precedence before acting.
card53,Duty to consult and accommodate Indigenous peoples,Who carries the Supreme-Court-mandated duty? The government (Crown) — even when the claim has not yet been proven.
card54,Tendering law (Ron Engineering): what is Contract A?,A bidding contract formed with every compliant bidder once their tender is submitted.
card55,Legal doctrine that says land-sale agreements must be in writing,Statute of Frauds.
card56,Engineers Canada Code of Ethics,What must you provide for subordinates? Opportunities for their professional development.
card57,Insurance nickname that protects professionals,Errors & Omissions (E&O) insurance.
card58,2004 amendment that made workplace-safety violations potentially a criminal offence,The Criminal Code was amended to impose criminal liability on those who direct work but fail to protect workers/public.
card59,Which of these is not a universal level of environmental regulation?,"The Canada National Parks Act (it's federal only; EAs, offences & emissions rules exist at all levels)."
card60,Post-2020 trade pact replacing NAFTA & its effect on engineering credentials,CUSMA (formerly NAFTA); regulators may recognize foreign qualifications but are not obliged to.
card61,Turning a filed lien claim into an enforceable charge,Process is called 'perfecting the lien.'
card62,Negligent-misrepresentation suits - strongest defence when claimant would have acted the same anyway,"Lack of causation (no reliance): if the plaintiff was already committed to the course of action, the misstatement did not cause the loss."
card63,Rule from Rylands v Fletcher - strict liability,Injured party need not prove negligence once the non-natural use of land causes escape and damage.
card64,Reasonable person test for negligence,Asks 'What would a reasonable person have done in the same circumstances?'
card65,"Joint liability, one defendant bankrupt - who pays?","The solvent defendant may be forced to pay 100 % of the damages, then seek (often futile) contribution from the defunct party."
card66,"Large, controversial projects (e.g., inter-provincial pipeline): likely federal EA review types",Mediation or Panel Review under the Impact Assessment Act/CEAA.
card67,Corporate environmental audit - which benefit is NOT provided?,It does not grant a tax break simply for undertaking the audit.
card68,Phase III ESA delivers... and does not deliver?,"Gives remediation plan, contaminant details & success metrics; does NOT repeat Phase I historical-title research."
card69,Strict-liability environmental offences - weakest due-diligence proof,Merely having a paper policy (with no evidence of implementation/monitoring) rarely satisfies due diligence.
card70,Contract with a mandatory arbitration clause - can a party refuse and litigate instead?,"No. Once signed, parties are bound; the court can even appoint an arbitrator if they cannot agree."
card71,Definition of negotiation in ADR,Direct discussion/compromise between parties; if agreement reached it becomes an enforceable contract.
card72,PIPEDA data-collection principle that is NOT in the Act,"No rule limiting use to one year; PIPEDA requires purpose identification, consent, access, safeguards, etc., but sets no fixed time-limit."
card73,"Harris, Pritchard & Rabins ""Golden Rule"" for engineers abroad - which action is not one of the nine ethical guidelines?","""Paternalize local citizens."" Professionals should not impose their own choices on local people."
card74,Cutting an employee's salary 20 % without consent is treated as what kind of termination?,Constructive dismissal - employee may treat contract as terminated and sue for severance/notice.
card75,Quebec Civil Code - UNtrue statement about contract interpretation,"Strict, literal wording overrides common intention → UNTRUE. Code says common intention prevails over literal text."
card76,One of the four elements of fraudulent misrepresentation,Defendant intended that the plaintiff rely on the false statement.
card77,Waiver & estoppel,Owner's conduct waived the written-approval clause; contract is not voided.
card78,Conditions for voiding a contract for mutual mistake,1) Significant impact on performance/cost 2) Both parties shared the mistaken assumption 3) Mistake existed when contract formed.
card79,Application of Canadian common law in Québec,"In matters of federal jurisdiction (e.g., criminal law, patents, Admiralty)."
card80,Clauses in multi-jurisdiction contracts,1) Governing-law clause (which jurisdiction's law applies) 2) Forum/venue clause (which courts will hear any dispute).
card81,Element of fraudulent misrepresentation,Defendant intended that the plaintiff rely on the false statement.
card82,Verbal owner approvals and contract survival,Waiver & estoppel - owner's conduct waived the written-approval clause; contract is not voided.
card83,Passing-off action,You must have a trademark (registered or common-law) that the public associates with your goods/services; mere similarity of un-trademarked trade names is not enough.
card84,Criminal Code and Canadian Constitution,The Criminal Code is a separate federal statute; it is not itself part of the Constitution.
card85,What is the only defence to a strict-liability environmental offence?,Due diligence - you must prove you took all reasonable steps to obey the law and prevent harm.(due diligence = reasonable effort)
card86,Contra proferentem rule,An ambiguous clause is read against the drafter and in favour of the other party.
card87,"Who can file a construction/builders' lien in Canada?
(Lien - a legal claim on property used as security for payment of a debt.)","Any party who improved the property - contractor, subcontractor, supplier, or professional - may register a lien for unpaid work or materials."
card88,Duress in contract signing,Contracts signed under duress can be set aside.
card89,Basic test items a plaintiff must prove in a negligence suit,"Need duty of care, breach, and causation of damage - a contract between parties is NOT required."
card90,Key elements that keep international contracts out of 'conflict-of-laws' trouble,Include a governing-law clause and a forum clause naming which court will hear any dispute.
card91,Tort claim without a contract,A claim in negligence - duty of care exists even without a contract.
card92,Unregistered trademark rights,Under common-law you gain unregistered (common-law) trademark rights through continued public use.
card93,Project delivery method without a general contractor,Called Construction Management (owner + construction manager + separate trade contracts).
card94,Comparative-negligence clause,A clause that limits each party to pay only its proven share of fault.
card95,Filing a lien,Supplier unpaid for materials can't collect from broke contractor can still file a lien against the owner's property for the value supplied.
card96,"What's the primary purpose of intellectual property (IP) law?

(IP law = rules governing patents, copyrights, trademarks, etc.)","To encourage creativity by protecting creators' rights and providing a fair, organized way to share and license ideas.

• E.g., copyright lets authors control and license books, so they're paid when others use their work."
card97,How are workers' compensation insurance premiums calculated?,"Premiums are charged per employee and then adjusted by a risk rate reflecting the employer's industry hazard level.

• Higher-risk industries (e.g., construction) have higher rate multipliers.


Example: A construction firm (high-risk) with 10 employees and a rate of $2 per employee pays 10 × $2 = $20.

Notes:
Premium: the insurance cost you pay.
Risk rate: a multiplier based on how hazardous the work is."
card98,Investigation of new matters,Most Acts let the panel investigate any new matters that arise during the investigation.
card99,"Under APEGA's six CPD categories, mentoring a Member-in-Training (MIT) falls under which category, and what does that involve?","Participation
• Involves interactive activities—guiding, coaching or collaborating with others.
• Example: Pairing with an MIT on a real project, reviewing their work and offering feedback.

CPD (Continuing Professional Development): ongoing learning to maintain competenceMIT (Member-in-Training): someone gaining required work experience under supervision"
card100,Investigative Committee-What is the role of the Investigative Committee?,"The Investigative Committee gathers facts, reviews evidence and witness statements, and recommends charges if there's sufficient cause.

Example: After a safety complaint, the committee interviews employees, examines site records, and suggests whether the engineer should face a formal discipline hearing.

Difficult word:Recommend: to formally suggest a course of action."
card101,"Which sanction is NOT normally used by professional Discipline Committees?
Revocation
Suspension
Fine
Community service

(Sanction: an official penalty or disciplinary measure.)","Community service: Professional regulators impose fines, suspensions, license revocations or terms/conditions—but do not order community service (that's a criminal court penalty).

Example: An engineer found guilty might be fined or temporarily forbidden to practice, but won't be told to ""volunteer at a food bank"" as part of their discipline."
card102,Investigation committee dropping a complaint,If the claim is frivolous (trivial / no merit) or vexatious (meant to harass or annoy).
card103,"Key PRB check for licence reinstatement

(PRB = Practice Review Board - the committee that audits returning or practising members' competence;

Reinstatement = restoring a lapsed or inactive licence so you can practise again)","They verify whether the profession's standard of practice changed during the time you were not practising.Example: If you stopped working in 2015 and new building codes came into effect in 2018, the PRB will check that you're up to date before restoring your licence."
card104,Term for arbitration after a dispute starts,Voluntary binding arbitration.
card105,Trust provision,funds received must be held in trust for subcontractors/suppliers.
card106,Descriptive mark,directly describes the goods; not protectable.
card107,Industrial design,protected look/ornamentation of a manufactured item.
card108,Learned intermediary,a professional positioned between maker and consumer who must give warnings.
card109,Innocent misrepresentation,"false statement honestly believed by the seller; remedy is rescission (contract cancelled), no damages."
card110,Surety,third-party guarantor; face value - max bond amount.
card111,Unlimited personal liability,biggest disadvantage of a sole proprietorship for debts & lawsuits.
card112,Key element court needs for tort compensation,Defendant caused actual injury or loss to plaintiff.
card113,Termination without notice - invalid reason,Maternity leave - firing for pregnancy/leave is prohibited; must provide notice/severance.
card114,What is vicarious liability?,"Definition: When an employer is held legally responsible for a wrongful act committed by an employee in the course of their employment.

(Wrongful = improper or against the law)

Example: A delivery driver negligently causes a collision while making company deliveries. The employer can be sued for damages under vicarious liability."
card115,Copyright ownership when contract is silent,The engineer (author) keeps copyright; employer owns only normal 'work product' unless agreed otherwise.
card116,Letter of intent (LOI),'It slows the construction process' - actually used to start work quickly while full contract is finalized.
card117,Trust provision in lien law,Forces a contractor to use owner's money first to pay subcontractors/suppliers before anything else.
card118,Extra indemnity taken by surety,Often takes it from the company's shareholders (they sign personal guarantees).
card119,Payment-bond Mr Baker should require from subs,Labour & material payment bond - ensures lower-tier parties get paid.
card120,Type of bond guaranteeing a contractor's completion performance,"Surety cannot make owner pay the difference; if new bid is higher, surety pays (up to bond value)."
card121,Item that is NOT a branch of law,"Subrogation - it's a reimbursement mechanism, not a legal field."
card122,Situation least likely to trigger a complaint to an engineering regulator,Charging slightly higher fees than competitors - pricing alone rarely breaches the Act.
card123,Why taking part in technical societies supports your career,"It reinforces professionalism - keeps knowledge current, encourages ethics, raises the profession's image."
card124,Engineers Canada,Promotes national consistency in licensing & regulation among provincial/territorial associations.
card125,Exclusive scope of practice,No one may perform that professional work unless licensed by the regulator.
card126,Core elements of Canadian self-regulated professions,The exclusive right to title (P.Eng./P.Geo.) and the exclusive scope of practice they alone may perform.
card127,Illegal practice start,At the initial inspection acting as an engineer (even before stamping); all later actions also illegal.
card128,Public-safety risk of unregulated people,"They don't follow a Code of Ethics, can't be investigated or disciplined, and usually carry no professional liability insurance."
card129,Work-experience record evaluation,Have your work-experience record formally evaluated by the association.
card130,Most-weighted competency,1️⃣ Application of theory 2️⃣ Practical experience.
card131,Permit to Practice / Certificate of Authorization,Firm must name a supervising P.Eng./P.Geo. and carry liability insurance.
card132,Lawful discrimination ground,Disability - if the job's bona-fide requirements can't be met even with accommodation.
card133,Construction-management delivery,Cuts out the general-contractor profit; owner contracts directly with trades; CM only manages.
card134,Unionize,"Workers organize for collective bargaining, often indicating employer's failure in fair pay/negotiation."
card135,Limited Licence,"A technologist/science-diploma holder with focused experience (≥8 yrs, incl. 1 yr in CA & 2 yrs under P.Eng.) qualifies."
card136,Scope of practice vs. scope of responsibility,Discuss your scope of responsibility - the exact tasks & expectations you'll be accountable for.
card137,Unregulated practice safety risks,"Completion itself doesn't threaten safety; lack of ethics, competence, & insurance do."
card138,Owner's perk in construction management,"General-contractor profit is avoided; owner hires trades directly, CM just manages."
card139,"Under most Canadian professional practice Acts, a firm may include the protected title *""Engineer"" or ""Architect"" in its name only if licensed ______________ are (1) ______________ in the firm and* (2) hold a significant ______________/______________ role (e.g., partner or shareholder).",professionals of that discipline · actively involved · ownership · governance
card140,Property insurance would cover damage from fire or ________.,Property insurance would cover damage from fire or ________.
card141,Possible disciplinary measures include ________ or license cancellation.,suspension
card142,Examples of Tort,"Example: Imagine Alex, an engineer, lies about a bridge's safety to win a contract—this fraud is an intentional tort. If Alex also walks onto a restricted construction site without permission, that's trespass. Later, Alex tells clients that another engineer is incompetent even though it isn't true; that's defamation. Each of these deliberate actions can lead the injured parties to sue Alex for damages under tort law. If Alex had simply mis-calculated a load because of sloppy math, that would be negligence, not an intentional tort."
card143,First Acts licensing professional engineers,Provinces enacted these laws after the 1907 & 1916 Quebec Bridge collapses.
card144,What does a Letter of Assurance certify and when is it required?,At project end; certifies the building was constructed according to all sealed plans & specifications.
card145,Thorough review before sealing another engineer's work,Review until you can personally accept full professional responsibility.
card146,Ownership requirement for 'Engineers & Architects',Licensed architects must be partners or shareholders as well as engineers.
card147,Accreditors of Canadian engineering and geoscience degree programs,Engineers Canada and the Canadian Council of Professional Geoscientists (CCPG) accredit these programs.
card148,Significance of wearing an iron (or earth-science) ring,The wearer has taken an oath to uphold high professional and ethical standards.
card149,Treatment of draft or preliminary engineering documents,Do not seal them and clearly label them 'Preliminary / Not for Construction'.
card150,Worker's 'right to participate' under OHS legislation,Allows serving on workplace health-and-safety committees to improve safety.
card151,Recommended strategy to avoid 'old-method vs new-method' dilemma,Continuing Professional Development (CPD) is the single recommended strategy.
card152,Conflicting codes of conduct,"If a technical-society code conflicts with a provincial code, the provincial/territorial association's Code of Ethics prevails."
card153,Site coordinator responsibility on large Alberta construction site,Must protect all workers on site and anyone in the vicinity affected by site hazards.
card154,Difference between 'environmental compliance' and 'sustainability',Compliance = day-to-day legal minimum; sustainability = long-term strategy.
card155,What is a Life-Cycle Analysis (LCA) inventory?,"Judges a project's sustainability by listing all energy & resource inputs and all outputs (products & wastes) to determine the net result (overall environmental impact).

Inventory: a detailed list of items analyzed."
card156,CPD-exemption request routinely accepted by Canadian associations,"Parental leave (temporary exemption, CPD resumes on return)."
card157,What's the difference between enforcement and discipline in engineering regulation?,"Enforcement: Actions taken against non-members (unlicensed individuals) who unlawfully use protected titles or practise without authorization. Ensures only qualified persons offer engineering services.
Discipline: Actions taken against licensed members found guilty of professional misconduct or incompetence. May include fines, practice restrictions, suspension, or revocation of licence."
card158,Not a Canadian achievement,Luna 3 moon-photography probe (it was Soviet).
card159,Professional engineer's rubber stamp identifiers,Province/territory · Licence type · Name of licence holder · Licence number.
card160,What seals are required on a final engineering drawing?,"One professional seal for each discipline involved (e.g., structural, electrical) + the approving engineer's seal.Discipline: area of expertise (e.g., civil, mechanical)."
card161,Self-regulating profession in Canadian law,A provincial/territorial Act creates an association that regulates the profession itself.
card162,Ethical theories,"Mill's utilitarianism, Kant's formalism, Locke's rights ethics, Aristotle's virtue ethics."
card163,Duty that outranks all others,Duty to protect the public.
card164,What is the key lesson from the Elliot Lake mall collapse?,It highlights human error and a failure of the engineer's duty to society (public safety).
card165,Professional decisions according to the Charter,Independent of religious influence (state neutrality).
card166,Copying unregistered software in Canada,Copyright is automatic upon creation; registration is optional.
card167,Overlap of law and ethics: What's the relationship?,"All criminal acts are unethical, but not all unethical acts are criminal."
card168,Kant's formalism and moral duties,No one is exempt from basic moral duties such as honesty and fairness.
card169,IP creation under contract,Creator: the employee; Owner: the employer/client.
card170,Bridge-design choice and Mill's utilitarianism,Allocate more resources to safety for the greater number of users.
card171,Professional duty to a client,Obeying all of the client's instructions regardless of public welfare.
card172,Breach of duty by taking a side job,Duty of loyalty to the employer (competing with your firm).
card173,Codes of Ethics across Canadian jurisdictions,"Each association writes its own, but core principles remain the same nationwide."
card174,Duty to report,"Report any unsafe, unethical, or illegal activity."
card175,Ownership of client drawings,The client owns them; reuse only with the client's express permission.
card176,Exceptions to client/employer confidentiality,"(1) Required by law, (2) Client/employer gives permission, (3) Public-safety override."
card177,Time and confidentiality,No - time alone is NOT a valid reason to disclose confidential information.
card178,Morals vs Ethics,Morals = personal beliefs; Ethics = shared societal principles.
card179,Classic definition of conflict of interest,A situation where a professional has conflicting obligations to different parties.
card180,Age of ethical writing vs calculus/statistics,"Ethical writing ≈ 3,000 years old; calculus/statistics only since the 17th century."
card181,Branch of philosophy studying reasoning,Logic.
card182,Government system echoing Mill's utilitarian ideal,Democracy.
card183,Locke's rights-based ethics core rights,"Life, liberty, and property."
card184,Choosing in ethical deadlock,The one that gives you no personal benefit.
card185,Insider trading,Buying shares on non-public news of a soon-to-be-signed contract is called insider trading - illegal.
card186,Code-of-Ethics duty,"Overcharging a client breaches the Code-of-Ethics duty to conduct yourself with courtesy, good faith, and fairness."
card187,Secret commission,Lavish gifts offered (or received) to secure a contract are classified as secret commission (a form of bribery).
card188,Professional competence,A professional's competence must extend to any professional service they undertake (not an entire discipline).
card189,Acceptable advertisement,"An advertisement by a professional is acceptable under the Acts if it is factual, clear, and dignified (medium is irrelevant)."
card190,Moonlighting,Moonlighting is ethically acceptable if both your daytime employer and the side-job clients are informed of your limitations.
card191,Code's duty to colleagues,The single phrase that captures the Code's duty to colleagues is to act with courtesy and goodwill toward colleagues.
card192,True happiness (eudaimonia),"In Aristotle's virtue ethics, true happiness (eudaimonia) is achieved by cultivating virtues and using reason to find the balanced 'golden mean.'"
card193,Duty to inform,"Before deviating from an approved design, the duty to inform requires advising the employer of the consequences of the deviation."
card194,Reporting dishonest conduct,Reporting another practitioner's dishonest conduct is viewed as maintaining the honour and integrity of the profession.
card195,Exceptions for disclosure,"The three standard exceptions that allow disclosure of client/employer confidential info are legal requirement, client/employer permission, or necessary to protect public safety."
card196,Sale of Goods Act,The Sale of Goods Act implies three conditions that every product must satisfy: 1) Usability / fitness-for-purpose 2) Safety 3) Quality.
card197,Mill's Utilitarianism,Selecting the option that brings the greatest good to the greatest number embodies Mill's Utilitarianism.
card198,Finality vs. interpretation,"In codes & standards practice, 'finality' is the state a document reaches after the professional has applied all relevant codes & standards and it is ready for others to act on; 'interpretation' is the professional judgement used to select, understand, and apply those codes & standards correctly."
card199,Improving communication skills,The best way for a professional to improve poor communication skills is to pursue targeted Continuing Professional Development (CPD) activities.
card200,Whistle-blowing report,"If internal efforts fail and unsafe or illegal practice persists, a Canadian engineer should report to their provincial/territorial regulating body (engineering association)."
card201,Sealing documents,"Only final, completed documents may be sealed; drafts/preliminary prints are never sealed."
card202,Courtroom question on software,The key courtroom question when design relied on commercial software that later failed is: 'What tests did you perform to verify the software output was correct?'
card203,Builders' (all-risk) insurance,"Covers property or structure under construction (materials, labour & partially completed work)."
card204,Duty-to-inform,"Before deviating from an approved design, a P.Eng. must tell the employer the consequences of the deviation on safety, cost, schedule, codes, etc."
card205,Fukushima 2011 sequence,Correct order: (1) Earthquake → (2) Automatic reactor shut-off → (3) Tsunami floods plant → (4) Nuclear meltdown.
card206,1982 Lodgepole (Alberta) blow-out,"Taught industry that the single most critical prevention measure on drill sites is rigid adherence to safe, standardized drilling & kick-control procedures."
card207,Certified Engineering Technologist (C.E.T.),"Only those who voluntarily complete provincial certification may call themselves this; right-to-practice is open to diploma holders, but right-to-title is protected."
card208,Ownership of software created by an employee,"The employer owns it (copyright vests in employer, not the individual developer)."
card209,Workplace Communications-System Policy (CSP),"Main purpose is to educate staff on risks/liabilities of digital comms & set acceptable-use rules for email, IM, etc."
card210,Company name requirements,"Must include ""Ltd./Inc./Corp."" to signal to outsiders that liability is limited to corporate assets."
card211,Software-development failure modes,Technical failure (can't meet spec) and Service failure (system doesn't deliver required function) most threaten public safety.
card212,Liability when design relied solely on software output,P.Eng. remains fully liable; must rigorously check outputs - responsibility cannot be delegated to the program.
card213,Unlicensed person offering structural-design software & support in Alberta,"Selling software is OK, but providing engineering design/consulting services requires a licence/permit."
card214,Whistle-blowing anonymity rule for Canadian P.Eng./P.Geo.,Must identify themselves and be ready to participate; regulator keeps identity confidential only as far as case allows - no fully anonymous reports.
card215,Whistle-blowing channel required by Canadian engineering Codes of Ethics,"Report unethical/unsafe conduct to the applicable provincial/territorial regulator, not to the media."
card216,Client insists on ignoring engineer's structural-safety recommendation - engineer's correct response,Explain the risks in plain language and withdraw from the work; do not assist or supervise unsafe construction.
card217,Professional liability (E&O) insurance in Canada: where & for whom is it most critical?,"Mandatory only in some provinces and especially essential for practitioners in private practice, who have the highest lawsuit exposure."
card218,Due-diligence defence factors (foreseeability / preventability / controllability / correctability): which is not considered?,"Correctability - courts focus on what could be foreseen, prevented or controlled before harm occurred."
card219,Purpose of a Failure Modes & Effects Analysis (FMEA),"Systematically list each component/assembly, identify how it can fail, and trace the effect of that failure on the larger system."
card220,Scope of a designer's hazard analysis — what uses must be considered?,"Normal use, foreseeable misuse, and failures - all potential hazards must be addressed."
card221,"When a design hazard (e.g., exposed blade) is essential and cannot be removed, professional obligation?",Warn users and provide effective shielding/guards to protect public safety.
card222,Three classic grounds for a product-liability lawsuit,1. Defective manufacture 2. Negligent design 3. Failure to warn of inherent dangers.
card223,Difference in focus: building codes vs standards,Codes prescribe how to construct/install; standards set minimum quality & uniformity requirements.
card224,"Professional duty when industry codes are ""very low"" or outdated",Exceed the minimum; engineer must raise the level of care to ensure reliability & safety.
card225,Best way to keep a proprietary manufacturing process secret,Use employment contracts with strong confidentiality (non-disclosure) clauses rather than patents or trademarks.
card226,First level of unsupervised practice in Canada,"Level C - Professional Engineer (fully licensed, independent practice)."
card227,Permit to Practice / CofA,Company must identify licensed individuals who will take professional responsibility for the work.
card228,Fraudulent conveyance,Moving assets to a spouse after learning of a pending lawsuit is considered a fraudulent conveyance; courts can reverse the transfer.
card229,Sealing a huge report,One seal+signature+date on the title or final page is sufficient if the engineer controlled all content.
card230,Design aspects outside competence,Consult a qualified specialist (who may seal that portion) before proceeding.
card231,Cost model for official electronic seals,Expect a one-time setup fee plus annual renewal to the certified digital-signature provider.
card232,First step for suspected falsified test results,"Discuss concerns with the colleague; if not resolved, escalate to employer and regulator."
card233,Obligation when reviewing another professional's work,"Inform the original professional of the review before starting, even if the employer requested it."
card234,Scope exceeding competence,Seek qualified assistance immediately; do not delay the client's project while you retrain (NPPE III.3).
card235,Peer sealing work they did not supervise,"Yes - if they perform a thorough review and accept full legal responsibility, they may sign & seal (NPPE III.3, Seal guideline)."
card236,Research scientist vs. Engineer core roles,Research scientist generates new knowledge; engineer applies that knowledge (NPPE III.3).
card237,Natural greenhouse effect importance,It's essential for life on Earth—retains heat and prevents extreme temperature swings (NPPE III.6).
card238,Required environmental literacy for P.Eng./P.Geo.,Possess enough knowledge to judge when a specialist is needed; not expected to be an environmental expert in all areas (Env. Guideline §3.1).
card239,"Meaning of ""peak oil""","After peak, easy oil is gone ⇒ production declines & prices likely rise sharply (NPPE III.6)."
card240,Causal chain to climate change,1️⃣ Gas emissions → 2️⃣ Enhanced greenhouse effect → 3️⃣ Global warming → 4️⃣ Climate change (NPPE III.6).
card241,Duty that violates your morals but not law/Ethics Code,"You may refuse, yet employer is entitled to discipline or dismiss you (Conscience vs. employment, NPPE III.2)."
card242,Who protects the owner's interests on a project?,"The consultant (engineer/geo) guides the client with technical advice and safeguards fairness, safety & schedule (Client-consultant duty, NPPE III.2)."
card243,Duty of loyalty/confidentiality in private practice,A self-employed P.Eng./P.Geo. owes the same loyalty & confidentiality to clients that an employee owes to an employer.
card244,"""Duty to inform"" when client overrules advice",Must clearly disclose risks—especially when the client lacks technical expertise—before accepting overridden direction.
card245,Risk-management duty in the Code,"Professionals must recognize, eliminate or reduce hazards that could harm people or property."
card246,QA trigger for design software,"Perform quality-assurance every time the software is updated, re-configured, or newly installed."
card247,"What's the biggest myth about deleting emails?
myth : AFSANE","That they're gone forever. In reality, emails are almost always recoverable—making them a high liability risk if you assume they can simply be deleted."
card248,Are insurers a direct accountability stakeholder?,"No - professionals are influenced by insurers but not directly accountable to them (unlike employers, clients, public, courts)."
card249,Posting false statements online,Internet libel is an actionable tort; same liability as other media.
card250,Coverage of a Commercial General Liability (CGL) policy,Third-party bodily injury and property damage claims.
card251,Working abroad with weak safety rules,Must still follow Canadian Code-of-Ethics duty: improve conditions even if local laws are silent/weak.
